time,temperature
10732,304.15
10746,304.15
10760,304.15
10774,304.15
10787,304.15
10801,304.15
10815,304.15
10829,304.15
10843,304.15
10857,304.15
10871,304.15
10885,304.15
10898,304.15
10912,304.15
10926,304.15
10940,304.15
10954,304.15
10968,304.15
10982,304.15
10996,304.15
11010,304.15
11023,304.15
11037,304.15
11051,304.15
11065,304.15
11079,304.15
11093,304.15
11107,304.15
11121,304.15
11135,304.15
11148,304.15
11162,304.15
11176,304.15
11190,304.15
11204,304.15
11218,304.15
11232,304.15
11246,304.15
11259,304.15
11273,304.15
11287,304.15
11301,304.15
11315,304.15
11329,304.15
11343,304.15
11357,304.15
11371,304.15
11384,304.15
11398,304.15
11412,304.15
11426,304.15
11440,304.15
11454,304.15
11468,304.15
11482,304.15
11495,304.15
11509,304.15
11523,304.15
11537,304.15
11551,304.15
11565,304.15
11579,304.15
11593,304.15
11607,304.15
11620,304.15
11634,304.15
11648,304.15
11662,304.15
11676,304.15
11690,304.15
11704,304.15
11718,304.15
11731,304.15
11745,304.15
11759,304.15
11773,304.15
11787,304.15
11801,304.15
11815,304.15
11829,304.15
11843,304.15
11856,304.15
11870,304.15
11884,304.15
11898,304.15
11912,304.15
11926,304.15
11940,304.15
11954,304.15
11967,304.15
11981,304.15
11995,304.15
12009,304.15
12023,304.15
12037,304.15
12051,304.15
12065,304.15
12079,304.15
12092,304.15
12106,304.15
12120,304.15
12134,304.15
12148,304.15
12162,304.15
12176,304.15
12190,304.15
12204,304.15
12217,304.15
12231,304.15
12245,304.15
12259,304.15
12273,304.15
12287,304.15
12301,304.15
12315,304.15
12328,304.15
12342,304.15
12356,304.15
12370,304.15
12384,304.15
12398,304.15
12412,304.15
12426,304.15
12440,304.15
12453,304.15
12467,304.15
12481,304.15
12495,304.15
12509,304.15
12523,304.15
12537,304.15
12551,304.15
12564,304.15
12578,304.15
12592,304.15
12606,304.15
12620,304.15
12634,304.15
12648,304.15
12662,304.15
12676,304.15
12689,304.15
12703,304.15
12717,304.15
12731,304.15
12745,304.15
12759,304.15
12773,304.15
12787,304.15
12800,304.15
12814,304.15
12828,304.15
12842,304.15
12856,304.15
12870,304.15
12884,304.15
12898,304.15
12912,304.15
12925,304.15
12939,304.15
12953,304.15
12967,304.15
12981,304.15
12995,304.15
13009,304.15
13023,304.15
13037,304.15
13050,304.15
13064,304.15
13078,304.15
13092,304.15
13106,304.15
13120,304.15
13134,304.15
13148,304.15
13161,304.15
13175,304.15
13189,304.15
13203,304.15
13217,304.15
13231,304.15
13245,304.15
13259,304.15
13273,304.15
13286,304.15
13300,304.15
13314,304.15
13328,304.15
13342,304.15
13356,304.15
13370,304.15
13384,304.15
13397,304.15
13411,304.15
13425,304.15
13439,304.15
